userName,userLocation,userDescription,isUserVerified,date,text,source
ALEJANDRO 👽,Guatemala,HALA MADRID 🏆,False,2022-09-10 21:08:35+00:00,"@Tigo_GT Si quieres te la saco
Dos trago' y sabes
Que me pongo bellaco 🎧🥃

#BadBunnyxTigo 🐰",Twitter for Android
Jack Salazar,Guatemala,Instagram: Jack.dardon,False,2022-09-10 21:08:19+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo @FCBarcelona_es,Twitter Web App
ALEJANDRO 👽,Guatemala,HALA MADRID 🏆,False,2022-09-10 21:08:03+00:00,"@Tigo_GT Si quieres te la saco
Dos trago' y sabes
Que me pongo bellaco 🎧🥃

#BadBunnyxTigo 🐰",Twitter for Android
✖✖,Guatemala,90's | Live and Let Die,False,2022-09-10 20:42:05+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo @FCBarcelona_es,Twitter for iPhone
Daniel Ordoñez,Guatemala,,False,2022-09-10 20:39:00+00:00,@Tigo_GT Vix+ y la liga están en Tito #FutbolConTigo Real Madrid #HalaMadridYNadaMas ⚽,Twitter for Android
EuniceAleman,Guatemala,,False,2022-09-10 20:36:19+00:00,@Tigo_GT Ahí esta la red más grande de Guatemala con una señal malisima https://t.co/x6Wrw4DPYt,Twitter for Android
Erick José  Estraga,Guatemala,un pantan tecnológico  de  mundo y sociedad que tiene un poco de veneno para ser tu mejor opcion al seguirme #hinchamadridista #vwclassiclover,False,2022-09-10 20:31:42+00:00,@Tigo_GT Los quiero mucho Tigo❤️,Twitter for Android
₳ӾɈØ$Ø,,,False,2022-09-10 20:28:42+00:00,@alevita79 @Tigo_GT Es plan de teléfono?  O es wifi residencial?,Twitter for Android
JArgueta21🦉,,Surgery Resident,False,2022-09-10 20:28:31+00:00,@Tigo_GT ViX+ y la Liga están en Tigo #FutbolConTigo Barcelona 👌🏻,Twitter for iPhone
JJ,.,"Amante del buen futbol. Sí, del Barça. Liverpool y Milan.",False,2022-09-10 20:25:53+00:00,@Tigo_GT ViX+ y La Liga están en Tigo #FutbolConTigo FC Barcelona,Twitter Web App
ALEJANDRO 👽,Guatemala,HALA MADRID 🏆,False,2022-09-10 20:19:27+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo Real Madrid ⚽🙌🏼,Twitter for Android
Betelgeuse,Algún lugar; algún momento.,🤍💜Dejé mis buenos tuits en otras cuentas.,False,2022-09-10 20:07:56+00:00,@JackOldSeven @Tigo_GT Parece más estafa... Busqué el número y aparece hace dos años pero como de energuate.,Twitter for Android
La Guinda del pastel 🍒🍒🍒,🌎🗼,coma chucho,False,2022-09-10 20:06:25+00:00,@Tigo_GT Les mande dm espero que me contesten,Twitter for Android
𝗙𝗵𝗲𝗿 ✪,Memetenango,"out·sid·er 🥊
We're the renegades of funk.",False,2022-09-10 20:06:17+00:00,@estranged_85 @Tigo_GT Estos hijosdelaverga parecen spam con todo lo que mandan.,Twitter for Android
Stuardo Vides ⚽️⚾️🏈⌚️🖱💻,GT,"""The only way to do great work, is to love what you do"". Jobs",False,2022-09-10 20:04:23+00:00,@Edgarmazgt @Tigo_GT Tu cable es análogo o digital ? Tiene caja ?,Twitter for Android
Betelgeuse,Algún lugar; algún momento.,🤍💜Dejé mis buenos tuits en otras cuentas.,False,2022-09-10 20:04:07+00:00,"Ojo aquí, @Tigo_GT... https://t.co/n9q7WY0Gmf",Twitter for Android
Stuardo Vides ⚽️⚾️🏈⌚️🖱💻,GT,"""The only way to do great work, is to love what you do"". Jobs",False,2022-09-10 20:04:05+00:00,@elchinito100 @jenniszgomez @Tigo_GT Tu cable es análogo o digital? Tiene caja ??,Twitter for Android
Saul Mendez,,,False,2022-09-10 20:02:06+00:00,@Tigo_GT Real Madrid. Tengo una duda el costo de los Q 45.00 es por todo el contenido de VIX+ o solo por ver los partidos de la liga española.,Twitter for Android
P. Prera,Guatemala,If I Should Die Before I Wake..I Pray The Lord My Soul 2 Take..,False,2022-09-10 19:56:34+00:00,@Tigo_GT Por su culpa @Tigo_GT mi mujer anda trompas porque desde la mañana estoy viendo los partidos... excelente la señal... GRACIAS!!!!,Twitter for Android
Fernando,,🤠🤙🏻🎩,False,2022-09-10 19:53:48+00:00,@Tigo_GT ViX+ y La Liga están en Tigo #FutbolConTigo @FCBarcelona 🔴🔵,Twitter for Android
download5000,,,False,2022-09-10 19:51:10+00:00,"@Tigo_GT En que canal puedo verlo, si no tengo una caja digital, porque en el canal 1 no se ve nada.",Twitter for iPhone
Alex Flores,,,False,2022-09-10 19:32:48+00:00,@Tigo_GT Vix+ y La Liga están en Tigo #FutbolConTigo mi equipo es Real Madrid..,Twitter for Android
Oscar Juarez,Guatemala,"Instagram: ozjuarezz

Jugando diariamente a improvisar.",False,2022-09-10 19:26:25+00:00,@Tigo_GT Vix+ y la Liga están en Tigo #Futbolcontigo VISCA EL @FCBarcelona_es 💪 ⚽️ VAMOOOOOOOOS ya disfrute el partido de hoy 👌😍🔥🔥🔥,Twitter for Android
Enrique 🔥,,,False,2022-09-10 19:25:25+00:00,@Tigo_GT Solo eso responden. Pero no puedo activar vix+,Twitter for Android
